"Фамилия 1","Имя 1","Отчество 1","31000.50","позиция 1","login 1","password1"
"Фамилия 2","Имя 2","Отчество 2","32000.50","позиция 2","login 2","password2"
"Фамилия 3","Имя 3","Отчество 3","33000.50","позиция 3","login 3","password3"
"Фамилия 4","Имя 4","Отчество 4","34000.50","позиция 4","login 4","password4"
"Фамилия 5","Имя 5","Отчество 5","35000.50","позиция 5","login 5","password5"
"Фамилия 6","Имя 6","Отчество 6","56000.50","позиция 6","login 6","password6"
"Фамилия 7","Имя 7","Отчество 7","37000.50","позиция 7","login 7","password7"
"Фамилия 8","Имя 8","Отчество 8","38000.50","позиция 8","login 8","password8"
"Фамилия 9","Имя 9","Отчество 9","39000.50","позиция 9","login 9","password9"
"Фамилия 10","Имя 10","Отчество 10","40000.50","позиция 10","login 10","password10"
